"oi_emp_pfk";"cam_agua_servida_destino";"cam_captacao_agua_subt";"cam_tp_poco";"cam_profundidade_poco";"asb_nu_profundidadefinal";"cam_utilizacao_poco";"cam_realizacao_car";"cam_captacoes_comple";"cam_capta_lanca_futuro"
"30555";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30556";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30557";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30558";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30559";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30560";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30561";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30562";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30563";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30564";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30565";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30566";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30567";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30568";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30569";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30570";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30571";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30572";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30573";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30574";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30575";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30576";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Poço";"Não consta"
