"oi_emp_pfk";"cam_agua_servida_destino";"cam_captacao_agua_subt";"cam_tp_poco";"cam_profundidade_poco";"asb_nu_profundidadefinal";"cam_utilizacao_poco";"cam_realizacao_car";"cam_captacoes_comple";"cam_capta_lanca_futuro"
"30732";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30733";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30734";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30735";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30736";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Água de Consumo Mineral";"Não consta"
"30737";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30738";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30739";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30740";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Agua Consumo Mineral";"Não consta"
"30741";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30742";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30743";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30744";"Fossa Séptica/Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30745";"Fossa Séptica/Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30746";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30747";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30748";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30749";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30750";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30751";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30752";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30753";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30754";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30755";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30756";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30757";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Ampliação"
"30758";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30759";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30760";"Fossa Séptica/Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente/Poço";"Não consta"
"30761";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30762";"Lançamento no Solo";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30763";"Fossa Séptica/Lançamento no Solo";"t";"Tubular";"Maior que 50 metros";"";"Poço Ativo";"Não realizado";"Poço";"Não consta"
"30764";"Lançamento no Solo";"t";"Tubular";"Maior que 50 metros";"";"Poço Ativo";"Realizado";"Poço";"Não consta"
"30765";"Fossa negra";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30766";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30767";"Fossa negra/Fossa Séptica/Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30768";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30769";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30770";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30771";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30772";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30773";"Lançamento no Solo";"t";"Tubular";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30774";"Lançamento no Solo";"t";"Tubular";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30775";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30776";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30777";"Fossa Séptica/Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30778";"Fossa Séptica";"f";"";"";"";"";"Não se aplica";"Não existe captação complementar";"Não consta"
"30779";"Fossa Séptica";"f";"";"";"";"";"Não se aplica";"Não existe captação complementar";"Não consta"
"30780";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30781";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30782";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30783";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30784";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30785";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30786";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30787";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30788";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30789";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30790";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Rede Pública";"Não consta"
"30791";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30792";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30793";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30794";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30795";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30796";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30797";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30798";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30799";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Agua Consumo Mineral";"Não consta"
"30800";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30801";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30802";"Lançamento no Solo";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30803";"Fossa Séptica";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30804";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30805";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30806";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30807";"Fossa Séptica";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30808";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30809";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30810";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30811";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30812";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30813";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30814";"Fossa Séptica/Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente/Poço";"Não consta"
"30815";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30816";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30817";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30818";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Poço";"Não consta"
"30819";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30820";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30821";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30822";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30823";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30824";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Poço";"Não consta"
"30825";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30826";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30827";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30828";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30829";"Fossa Séptica";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30830";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30831";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30832";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30833";"Fossa Séptica/Lançamento no Solo";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30834";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30835";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30836";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30837";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Poço";"Não consta"
"30838";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30839";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30840";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30841";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30842";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30843";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30844";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Poço";"Não consta"
"30845";"Fossa negra/Lançamento em Curso d''água";"t";"Cacimba";"De 10 a 20 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30846";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30847";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30848";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30849";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Poço";"Não consta"
"30850";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30851";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30852";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Água de Consumo Mineral";"Não consta"
"30853";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Água de Consumo Mineral";"Não consta"
"30854";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Água de Consumo Mineral";"Não consta"
"30855";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30856";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30857";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Manancial não cartografado/Nascente";"Não consta"
"30858";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30859";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30860";"Fossa Séptica";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30861";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30862";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30863";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30864";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30865";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30866";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30867";"Fossa Séptica";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30868";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30869";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30870";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30871";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30872";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30873";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30874";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30875";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30876";"Fossa Séptica/Lançamento no Solo";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30877";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30878";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30879";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30880";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30881";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30882";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30883";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30884";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30885";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30886";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30887";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30888";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30889";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30890";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30891";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30892";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30893";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30894";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30895";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30896";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30897";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30898";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30899";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30900";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30901";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30902";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30903";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar/Poço";"Não consta"
"30904";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30905";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Poço";"Não consta"
"30906";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30907";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30908";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30909";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30910";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30911";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30912";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30913";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30914";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30915";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30916";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30917";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30918";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30919";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30920";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar/Poço";"Não consta"
"30921";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30922";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30923";"Fossa Seca";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30924";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Poço";"Não consta"
"30925";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30926";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Poço";"Não consta"
"30927";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30928";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30929";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30930";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30931";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30932";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30933";"Lançamento no Solo";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30934";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30935";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30936";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Poço";"Não consta"
"30937";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30938";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30939";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30940";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30941";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30942";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30943";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30944";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30945";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30946";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30947";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30948";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30949";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30950";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30951";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30952";"Lançamento no Solo";"t";"Cacimba";"De 10 a 20 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30953";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30954";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30955";"Fossa Séptica";"t";"Cacimba";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30956";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Não existe captação complementar";"Não consta"
"30957";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30958";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30959";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30960";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30961";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30962";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30963";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30964";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30965";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30966";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30967";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
