"cap_int_pfk";"cam_info_adici_consumo";"int_tsu_cd"
"173080";"Pecuária";"Subterrânea"
"173081";"Pecuária";"Subterrânea"
"173082";"Nenhum Outro Uso";"Subterrânea"
"173083";"Pecuária";"Subterrânea"
"173084";"Pecuária";"Subterrânea"
"173085";"Pecuária";"Subterrânea"
"173086";"Nenhum Outro Uso";"Subterrânea"
"173087";"Nenhum Outro Uso";"Subterrânea"
"173088";"Nenhum Outro Uso";"Subterrânea"
"173089";"Nenhum Outro Uso";"Subterrânea"
"173090";"Nenhum Outro Uso";"Subterrânea"
"173091";"Pecuária";"Subterrânea"
"173092";"Pecuária";"Subterrânea"
"173093";"Pecuária";"Subterrânea"
"173094";"Nenhum Outro Uso";"Subterrânea"
"173095";"Pecuária";"Subterrânea"
"173096";"Pecuária";"Subterrânea"
"173097";"Pecuária";"Subterrânea"
"173098";"Nenhum Outro Uso";"Subterrânea"
"173099";"Nenhum Outro Uso";"Subterrânea"
"173100";"Nenhum Outro Uso";"Subterrânea"
"173101";"Nenhum Outro Uso";"Subterrânea"
"173102";"Nenhum Outro Uso";"Subterrânea"
"173103";"Nenhum Outro Uso";"Subterrânea"
"173104";"Nenhum Outro Uso";"Subterrânea"
"173105";"Nenhum Outro Uso";"Subterrânea"
"173106";"Nenhum Outro Uso";"Subterrânea"
"173107";"Nenhum Outro Uso";"Subterrânea"
"173108";"Pecuária";"Subterrânea"
"173109";"Pecuária";"Subterrânea"
"173110";"Nenhum Outro Uso";"Subterrânea"
"173111";"Consumo Humano";"Subterrânea"
"173112";"Nenhum Outro Uso";"Subterrânea"
"173113";"Nenhum Outro Uso";"Subterrânea"
"173114";"Nenhum Outro Uso";"Subterrânea"
"173115";"Nenhum Outro Uso";"Subterrânea"
"173116";"Nenhum Outro Uso";"Subterrânea"
"173117";"Nenhum Outro Uso";"Subterrânea"
"173118";"Nenhum Outro Uso";"Subterrânea"
"173119";"Nenhum Outro Uso";"Subterrânea"
"173120";"Nenhum Outro Uso";"Subterrânea"
"173121";"Nenhum Outro Uso";"Subterrânea"
"173122";"Nenhum Outro Uso";"Subterrânea"
