"pec_int_pfk";"cam_qt_equideo";"cam_qt_bovino";"cam_qt_ovino";"cam_qt_caprino";"cam_qt_suino";"cam_qt_ave";"cam_pec_outro";"cam_qt_outro"
"173752";"1";"0";"0";"0";"0";"0";"";""
"173753";"";"";"";"";"";"";"";""
"173754";"";"";"";"";"";"";"";""
"173755";"";"";"";"";"";"";"";""
"173756";"";"";"";"";"";"";"";""
"173757";"1";"3";"2";"0";"5";"3";"";""
"173758";"";"";"";"";"";"";"";""
"173759";"";"";"";"";"";"";"";""
"173760";"";"";"";"";"";"";"";""
"173763";"0";"12";"0";"0";"0";"0";"";""
"173764";"0";"12";"0";"0";"0";"0";"";""
"173765";"";"";"";"";"";"";"";""
"173766";"";"";"";"";"";"";"";""
"173767";"";"";"";"";"";"";"";""
"173768";"";"";"";"";"";"";"";""
"173769";"";"";"";"";"";"";"";""
"173770";"4";"2";"0";"0";"0";"37";"";""
"173771";"7";"0";"0";"0";"0";"0";"";""
"173773";"";"";"";"";"";"";"";""
"173775";"";"";"";"";"";"";"";""
"173776";"";"";"";"";"";"";"";""
"173778";"1";"6";"0";"0";"0";"2";"";""
"173779";"";"";"";"";"";"";"";""
"173780";"";"";"";"";"";"";"";""
"173781";"";"";"";"";"";"";"";""
"173783";"";"";"";"";"";"";"";""
"173788";"0";"15";"0";"0";"0";"0";"";""
"173789";"";"";"";"";"";"";"";""
"173790";"1";"10";"0";"0";"0";"15";"";""
"173791";"";"";"";"";"";"";"";""
"173792";"0";"8";"0";"0";"6";"0";"";""
"173793";"";"";"";"";"";"";"";""
"173796";"";"";"";"";"";"";"";""
"173797";"";"";"";"";"";"";"";""
"173798";"";"";"";"";"";"";"";""
"173799";"";"";"";"";"";"";"";""
"173800";"";"";"";"";"";"";"";""
"173801";"";"";"";"";"";"";"";""
"173802";"";"";"";"";"";"";"";""
"173803";"";"";"";"";"";"";"";""
"173804";"";"";"";"";"";"";"";""
"173806";"";"";"";"";"";"";"";""
"173808";"";"";"";"";"";"";"";""
"173809";"";"";"";"";"";"";"";""
"173811";"";"";"";"";"";"";"";""
"173812";"";"";"";"";"";"";"";""
"173814";"";"";"";"";"";"";"";""
"173816";"";"";"";"";"";"";"";""
"173817";"";"";"";"";"";"";"";""
"173818";"";"";"";"";"";"";"";""
"173820";"";"";"";"";"";"";"";""
"173821";"";"";"";"";"";"";"";""
"173822";"";"";"";"";"";"";"";""
"173823";"";"";"";"";"";"";"";""
"173824";"";"";"";"";"";"";"";""
"173825";"";"";"";"";"";"";"";""
"173826";"";"";"";"";"";"";"";""
"173827";"";"";"";"";"";"";"";""
"173828";"";"";"";"";"";"";"";""
"173829";"";"";"";"";"";"";"";""
"173830";"";"";"";"";"";"";"";""
"173831";"";"";"";"";"";"";"";""
"173832";"7";"0";"0";"0";"0";"0";"";""
"173833";"";"";"";"";"";"";"";""
"173834";"";"";"";"";"";"";"";""
"173835";"8";"320";"0";"0";"0";"100";"";""
"173836";"";"";"";"";"";"";"";""
"173837";"";"";"";"";"";"";"";""
"173838";"";"";"";"";"";"";"";""
"173839";"";"";"";"";"";"";"";""
"173840";"";"";"";"";"";"";"";""
"173841";"0";"3";"0";"0";"0";"50";"";""
"173842";"0";"2";"0";"0";"0";"0";"";""
"173843";"0";"2";"0";"0";"0";"12";"";""
"173844";"";"";"";"";"";"";"";""
"173845";"";"";"";"";"";"";"";""
"173846";"";"";"";"";"";"";"";""
"173847";"";"";"";"";"";"";"";""
"173848";"";"";"";"";"";"";"";""
"173849";"";"";"";"";"";"";"";""
"173850";"";"";"";"";"";"";"";""
"173851";"";"";"";"";"";"";"";""
"173852";"";"";"";"";"";"";"";""
"173853";"";"";"";"";"";"";"";""
"173854";"";"";"";"";"";"";"";""
"173855";"";"";"";"";"";"";"";""
"173856";"";"";"";"";"";"";"";""
"173857";"";"";"";"";"";"";"";""
"173858";"";"";"";"";"";"";"";""
"173859";"";"";"";"";"";"";"";""
"173860";"";"";"";"";"";"";"";""
"173861";"";"";"";"";"";"";"";""
"173862";"0";"1";"0";"0";"0";"0";"";""
"173863";"";"";"";"";"";"";"";""
"173864";"";"";"";"";"";"";"";""
"173865";"";"";"";"";"";"";"";""
"173866";"2";"0";"0";"0";"0";"10";"";""
"173867";"0";"10";"0";"5";"0";"20";"";""
"173868";"";"";"";"";"";"";"";""
"173869";"";"";"";"";"";"";"";""
"173870";"";"";"";"";"";"";"";""
"173871";"";"";"";"";"";"";"";""
"173872";"";"";"";"";"";"";"";""
"173873";"";"";"";"";"";"";"";""
"173875";"";"";"";"";"";"";"";""
"173879";"";"";"";"";"";"";"";""
"173880";"";"";"";"";"";"";"";""
"173881";"";"";"";"";"";"";"";""
"173882";"";"";"";"";"";"";"";""
"173883";"";"";"";"";"";"";"";""
"173884";"";"";"";"";"";"";"";""
"173885";"";"";"";"";"";"";"";""
"173888";"";"";"";"";"";"";"";""
"173890";"";"";"";"";"";"";"";""
"173893";"0";"7";"0";"0";"0";"15";"";""
"173894";"";"";"";"";"";"";"";""
"173895";"";"";"";"";"";"";"";""
"173896";"0";"2";"0";"0";"0";"2";"";""
"173897";"4";"12";"0";"0";"0";"7";"";""
"173898";"0";"2";"20";"0";"0";"20";"";""
"173899";"13";"0";"6";"0";"0";"7";"";""
"173900";"";"";"";"";"";"";"";""
"173901";"";"";"";"";"";"";"";""
"173902";"";"";"";"";"";"";"";""
"173903";"";"";"";"";"";"";"";""
"173904";"";"";"";"";"";"";"";""
"173905";"";"";"";"";"";"";"";""
"173906";"";"";"";"";"";"";"";""
"173907";"";"";"";"";"";"";"";""
"173910";"";"";"";"";"";"";"";""
"173911";"";"";"";"";"";"";"";""
"173912";"";"";"";"";"";"";"";""
"173913";"";"";"";"";"";"";"";""
"173914";"";"";"";"";"";"";"";""
"173915";"";"";"";"";"";"";"";""
"173916";"";"";"";"";"";"";"";""
"173917";"";"";"";"";"";"";"";""
"173918";"";"";"";"";"";"";"";""
"173919";"";"";"";"";"";"";"";""
"173920";"";"";"";"";"";"";"";""
"173921";"";"";"";"";"";"";"";""
"173922";"";"";"";"";"";"";"";""
"173924";"";"";"";"";"";"";"";""
"173925";"";"";"";"";"";"";"";""
"173926";"";"";"";"";"";"";"";""
"173927";"";"";"";"";"";"";"";""
"173928";"";"";"";"";"";"";"";""
"173929";"";"";"";"";"";"";"";""
"173933";"";"";"";"";"";"";"";""
"173934";"";"";"";"";"";"";"";""
"173935";"0";"0";"0";"12";"0";"0";"";""
"173936";"10";"0";"0";"2";"0";"0";"";""
"173937";"6";"0";"0";"0";"0";"50";"";""
"173938";"0";"7";"0";"0";"0";"0";"";""
"173939";"0";"10";"0";"2";"0";"15";"";""
"173940";"";"";"";"";"";"";"";""
"173941";"320";"4";"0";"0";"0";"20";"";""
"173942";"";"";"";"";"";"";"";""
"173943";"";"";"";"";"";"";"";""
"173948";"";"";"";"";"";"";"";""
"173949";"";"";"";"";"";"";"";""
"173951";"";"";"";"";"";"";"";""
"173954";"";"";"";"";"";"";"";""
"173955";"";"";"";"";"";"";"";""
"173956";"";"";"";"";"";"";"";""
"173957";"";"";"";"";"";"";"";""
"173958";"";"";"";"";"";"";"";""
"173959";"";"";"";"";"";"";"";""
"173960";"";"";"";"";"";"";"";""
"173961";"";"";"";"";"";"";"";""
"173962";"";"";"";"";"";"";"";""
"173963";"0";"6";"0";"0";"0";"0";"";""
"173964";"1";"4";"0";"0";"0";"20";"";""
"173968";"";"";"";"";"";"";"";""
"173969";"";"";"";"";"";"";"";""
"173970";"";"";"";"";"";"";"";""
"173971";"";"";"";"";"";"";"";""
"173972";"";"";"";"";"";"";"";""
"173973";"";"";"";"";"";"";"";""
"173974";"";"";"";"";"";"";"";""
"173975";"";"";"";"";"";"";"";""
"173976";"";"";"";"";"";"";"";""
"173977";"";"";"";"";"";"";"";""
"173978";"";"";"";"";"";"";"";""
"173979";"0";"7";"2";"10";"0";"30";"";""
"173980";"";"";"";"";"";"";"";""
"173981";"";"";"";"";"";"";"";""
"173982";"";"";"";"";"";"";"";""
"173983";"0";"0";"5";"0";"0";"3";"";""
"173984";"0";"0";"0";"0";"2";"10";"";""
"173985";"3";"0";"20";"5";"0";"15";"";""
"173986";"";"";"";"";"";"";"";""
"173987";"";"";"";"";"";"";"";""
"173988";"";"";"";"";"";"";"";""
"173989";"";"";"";"";"";"";"";""
"173990";"";"";"";"";"";"";"";""
"173991";"";"";"";"";"";"";"";""
"173992";"";"";"";"";"";"";"";""
"173993";"";"";"";"";"";"";"";""
"173994";"";"";"";"";"";"";"";""
"173995";"";"";"";"";"";"";"";""
"173997";"";"";"";"";"";"";"";""
"174000";"0";"4";"0";"0";"0";"50";"";""
"174001";"0";"0";"0";"7";"0";"0";"";""
"174002";"";"";"";"";"";"";"";""
"174004";"";"";"";"";"";"";"";""
"174005";"";"";"";"";"";"";"";""
"174006";"0";"7";"0";"1";"0";"0";"";""
"174007";"1";"8";"0";"0";"0";"10";"";""
"174008";"";"";"";"";"";"";"";""
"174009";"";"";"";"";"";"";"";""
"174010";"0";"4";"3";"0";"0";"10";"";""
"174011";"3";"2";"0";"0";"0";"13";"";""
"174012";"0";"14";"0";"0";"0";"10";"";""
"174013";"1";"0";"0";"0";"0";"0";"";""
"174014";"";"";"";"";"";"";"";""
"174015";"";"";"";"";"";"";"";""
"174016";"";"";"";"";"";"";"";""
"174017";"";"";"";"";"";"";"";""
"174019";"1";"0";"0";"0";"0";"21";"";""
"174020";"0";"6";"0";"0";"0";"0";"";""
"174021";"";"";"";"";"";"";"";""
"174022";"";"";"";"";"";"";"";""
"174023";"";"";"";"";"";"";"";""
"174024";"";"";"";"";"";"";"";""
"174025";"";"";"";"";"";"";"";""
"174026";"";"";"";"";"";"";"";""
"174027";"";"";"";"";"";"";"";""
"174028";"";"";"";"";"";"";"";""
"174030";"";"";"";"";"";"";"";""
"174031";"";"";"";"";"";"";"";""
"174034";"";"";"";"";"";"";"";""
"174037";"";"";"";"";"";"";"";""
"174038";"0";"30";"0";"0";"0";"0";"";""
"174039";"";"";"";"";"";"";"";""
"174040";"";"";"";"";"";"";"";""
"174041";"0";"0";"0";"0";"0";"18";"";""
"174043";"";"";"";"";"";"";"";""
"174045";"";"";"";"";"";"";"";""
"174051";"";"";"";"";"";"";"";""
"174052";"";"";"";"";"";"";"";""
"174053";"0";"0";"0";"0";"0";"40";"";""
"174054";"";"";"";"";"";"";"";""
"174055";"";"";"";"";"";"";"";""
"174056";"0";"2";"6";"0";"0";"50";"";""
"174059";"";"";"";"";"";"";"";""
"174061";"";"";"";"";"";"";"";""
"174063";"";"";"";"";"";"";"";""
"174065";"";"";"";"";"";"";"";""
"174066";"";"";"";"";"";"";"";""
"174067";"";"";"";"";"";"";"";""
"174068";"";"";"";"";"";"";"";""
"174069";"";"";"";"";"";"";"";""
"174071";"";"";"";"";"";"";"";""
"174072";"";"";"";"";"";"";"";""
"174073";"";"";"";"";"";"";"";""
"174074";"";"";"";"";"";"";"";""
"174075";"";"";"";"";"";"";"";""
"174076";"0";"0";"10";"5";"0";"20";"";""
"174077";"0";"0";"0";"0";"0";"40";"";""
"174078";"2";"76";"120";"0";"20";"20000";"";""
"174079";"";"";"";"";"";"";"";""
"174080";"";"";"";"";"";"";"";""
"174081";"";"";"";"";"";"";"";""
"174082";"";"";"";"";"";"";"";""
"174083";"";"";"";"";"";"";"";""
"174084";"";"";"";"";"";"";"";""
"174085";"";"";"";"";"";"";"";""
"174086";"";"";"";"";"";"";"";""
"174087";"";"";"";"";"";"";"";""
"174088";"";"";"";"";"";"";"";""
"174089";"0";"3";"0";"0";"0";"0";"";""
"174090";"2";"18";"3";"1";"5";"6";"";""
"174091";"1";"2";"2";"0";"0";"15";"";""
"174092";"0";"2";"0";"0";"0";"10";"";""
"174093";"20";"10";"0";"0";"0";"30";"";""
"174094";"";"";"";"";"";"";"";""
"174095";"";"";"";"";"";"";"";""
"174096";"";"";"";"";"";"";"";""
"174097";"";"";"";"";"";"";"";""
"174098";"";"";"";"";"";"";"";""
"174099";"0";"15";"0";"0";"0";"50";"";""
"174100";"0";"2";"0";"7";"0";"30";"";""
"174101";"";"";"";"";"";"";"";""
"174102";"";"";"";"";"";"";"";""
"174103";"0";"2";"0";"0";"0";"0";"";""
"174105";"0";"2";"0";"1";"0";"0";"";""
"174106";"";"";"";"";"";"";"";""
"174107";"";"";"";"";"";"";"";""
"174108";"";"";"";"";"";"";"";""
"174110";"";"";"";"";"";"";"";""
"174111";"";"";"";"";"";"";"";""
"174112";"";"";"";"";"";"";"";""
"174113";"";"";"";"";"";"";"";""
"174114";"";"";"";"";"";"";"";""
"174115";"";"";"";"";"";"";"";""
"174116";"";"";"";"";"";"";"";""
"174117";"0";"7";"6";"0";"0";"30";"";""
"174118";"3";"0";"0";"0";"0";"0";"";""
"174119";"1";"4";"0";"0";"0";"0";"";""
"174120";"4";"32";"0";"0";"0";"20";"";""
"174121";"";"";"";"";"";"";"";""
"174122";"";"";"";"";"";"";"";""
"174123";"";"";"";"";"";"";"";""
"174124";"";"";"";"";"";"";"";""
"174125";"";"";"";"";"";"";"";""
"174126";"0";"15";"0";"3";"2";"15";"";""
"174127";"";"";"";"";"";"";"";""
"174128";"";"";"";"";"";"";"";""
"174131";"";"";"";"";"";"";"";""
"174133";"1";"10";"0";"0";"0";"0";"";""
"174134";"";"";"";"";"";"";"";""
"174135";"";"";"";"";"";"";"";""
"174136";"";"";"";"";"";"";"";""
"174137";"";"";"";"";"";"";"";""
"174138";"";"";"";"";"";"";"";""
"174139";"";"";"";"";"";"";"";""
"174140";"";"";"";"";"";"";"";""
"174141";"";"";"";"";"";"";"";""
"174142";"";"";"";"";"";"";"";""
"174143";"5";"11";"12";"0";"0";"0";"";""
"174144";"";"";"";"";"";"";"";""
"174145";"";"";"";"";"";"";"";""
"174146";"";"";"";"";"";"";"";""
"174147";"";"";"";"";"";"";"";""
"174148";"";"";"";"";"";"";"";""
"174149";"0";"2";"0";"0";"0";"15";"";""
"174150";"";"";"";"";"";"";"";""
"174151";"";"";"";"";"";"";"";""
"174152";"";"";"";"";"";"";"";""
"174157";"";"";"";"";"";"";"";""
"174158";"";"";"";"";"";"";"";""
"174159";"0";"0";"0";"0";"0";"50";"";""
"174160";"";"";"";"";"";"";"";""
"174161";"";"";"";"";"";"";"";""
"174162";"";"";"";"";"";"";"";""
"174163";"";"";"";"";"";"";"";""
"174164";"";"";"";"";"";"";"";""
"174165";"0";"3";"0";"0";"0";"50";"";""
"174166";"";"";"";"";"";"";"";""
"174167";"";"";"";"";"";"";"";""
"174168";"";"";"";"";"";"";"";""
"174169";"";"";"";"";"";"";"";""
"174170";"";"";"";"";"";"";"";""
"174171";"";"";"";"";"";"";"";""
"174172";"";"";"";"";"";"";"";""
"174173";"";"";"";"";"";"";"";""
"174174";"";"";"";"";"";"";"";""
"174175";"";"";"";"";"";"";"";""
"174176";"";"";"";"";"";"";"";""
"174177";"";"";"";"";"";"";"";""
"174178";"";"";"";"";"";"";"";""
"174179";"";"";"";"";"";"";"";""
"174183";"12";"500";"6";"4";"0";"120";"";""
"174185";"";"";"";"";"";"";"";""
"174186";"";"";"";"";"";"";"";""
"174187";"";"";"";"";"";"";"";""
"174188";"2";"3";"3";"0";"0";"0";"";""
"174189";"";"";"";"";"";"";"";""
"174190";"0";"3";"0";"0";"0";"0";"";""
"174191";"9";"0";"0";"0";"0";"0";"";""
"174192";"1";"4";"0";"0";"0";"20";"";""
"174193";"";"";"";"";"";"";"";""
"174194";"";"";"";"";"";"";"";""
"174195";"";"";"";"";"";"";"";""
"174196";"";"";"";"";"";"";"";""
"174197";"";"";"";"";"";"";"";""
"174198";"";"";"";"";"";"";"";""
"174200";"";"";"";"";"";"";"";""
"174201";"";"";"";"";"";"";"";""
"174203";"";"";"";"";"";"";"";""
"174204";"0";"0";"0";"0";"0";"40";"";""
"174205";"";"";"";"";"";"";"";""
"174206";"";"";"";"";"";"";"";""
"174207";"";"";"";"";"";"";"";""
"174208";"";"";"";"";"";"";"";""
"174209";"0";"18";"0";"10";"0";"6";"";""
"174210";"";"";"";"";"";"";"";""
"174211";"";"";"";"";"";"";"";""
"174212";"";"";"";"";"";"";"";""
"174213";"";"";"";"";"";"";"";""
"174214";"";"";"";"";"";"";"";""
"174215";"0";"5";"0";"0";"0";"0";"";""
"174216";"0";"5";"0";"0";"0";"0";"";""
"174217";"";"";"";"";"";"";"";""
"174218";"1";"0";"0";"0";"0";"0";"";""
"174219";"";"";"";"";"";"";"";""
"174220";"2";"1";"0";"0";"10";"4";"";""
"174221";"";"";"";"";"";"";"";""
"174222";"";"";"";"";"";"";"";""
"174223";"";"";"";"";"";"";"";""
"174224";"";"";"";"";"";"";"";""
"174225";"";"";"";"";"";"";"";""
"174226";"";"";"";"";"";"";"";""
"174227";"";"";"";"";"";"";"";""
"174228";"2";"3";"0";"0";"0";"0";"";""
"174229";"0";"0";"10";"20";"0";"0";"";""
"174230";"0";"3";"0";"0";"0";"0";"";""
"174231";"4";"0";"0";"0";"0";"0";"";""
"174232";"";"";"";"";"";"";"";""
"174233";"";"";"";"";"";"";"";""
"174234";"";"";"";"";"";"";"";""
"174235";"";"";"";"";"";"";"";""
"174236";"";"";"";"";"";"";"";""
"174237";"";"";"";"";"";"";"";""
"174238";"";"";"";"";"";"";"";""
"174239";"";"";"";"";"";"";"";""
"174240";"";"";"";"";"";"";"";""
"174241";"";"";"";"";"";"";"";""
"174242";"";"";"";"";"";"";"";""
"174244";"2";"3";"0";"0";"0";"0";"";""
"174245";"";"";"";"";"";"";"";""
"174246";"";"";"";"";"";"";"";""
"174247";"";"";"";"";"";"";"";""
"174248";"";"";"";"";"";"";"";""
"174249";"";"";"";"";"";"";"";""
"174250";"";"";"";"";"";"";"";""
"174252";"";"";"";"";"";"";"";""
"174253";"";"";"";"";"";"";"";""
"174255";"";"";"";"";"";"";"";""
"174256";"";"";"";"";"";"";"";""
"174257";"";"";"";"";"";"";"";""
"174258";"";"";"";"";"";"";"";""
"174259";"";"";"";"";"";"";"";""
"174260";"";"";"";"";"";"";"";""
"174261";"";"";"";"";"";"";"";""
"174262";"";"";"";"";"";"";"";""
"174263";"";"";"";"";"";"";"";""
"174264";"";"";"";"";"";"";"";""
"174265";"";"";"";"";"";"";"";""
"174266";"";"";"";"";"";"";"";""
"174267";"";"";"";"";"";"";"";""
"174268";"";"";"";"";"";"";"";""
"174269";"";"";"";"";"";"";"";""
"174270";"";"";"";"";"";"";"";""
"174272";"";"";"";"";"";"";"";""
"174273";"";"";"";"";"";"";"";""
"174274";"55";"50";"0";"0";"0";"10";"";""
"174275";"2";"50";"0";"8";"0";"0";"";""
"174276";"0";"3";"5";"0";"0";"20";"";""
"174277";"0";"0";"0";"0";"0";"20";"";""
"174278";"3";"0";"0";"50";"0";"0";"";""
"174279";"1";"0";"0";"0";"0";"50";"";""
"174280";"3";"0";"3";"0";"0";"30";"";""
"174281";"0";"17";"0";"0";"0";"0";"";""
"174282";"17";"0";"15";"0";"0";"0";"";""
"174283";"";"";"";"";"";"";"";""
"174284";"";"";"";"";"";"";"";""
"174285";"";"";"";"";"";"";"";""
"174286";"0";"0";"10";"0";"0";"2";"";""
"174287";"0";"5";"0";"0";"0";"10";"";""
"174288";"1";"1";"0";"2";"0";"5";"";""
"174289";"0";"0";"10";"0";"0";"10";"";""
"174290";"10";"10";"10";"0";"3";"200";"";""
"174291";"";"";"";"";"";"";"";""
"174292";"";"";"";"";"";"";"";""
"174295";"1";"0";"0";"0";"0";"20";"";""
"174296";"1";"7";"0";"2";"0";"30";"";""
"174297";"";"";"";"";"";"";"";""
"174298";"";"";"";"";"";"";"";""
"174299";"";"";"";"";"";"";"";""
"174300";"";"";"";"";"";"";"";""
"174302";"";"";"";"";"";"";"";""
"174303";"";"";"";"";"";"";"";""
"174304";"";"";"";"";"";"";"";""
"174305";"";"";"";"";"";"";"";""
"174306";"";"";"";"";"";"";"";""
"174307";"";"";"";"";"";"";"";""
"174308";"";"";"";"";"";"";"";""
"174309";"";"";"";"";"";"";"";""
"174310";"";"";"";"";"";"";"";""
"174311";"";"";"";"";"";"";"";""
"174312";"";"";"";"";"";"";"";""
"174313";"0";"5";"0";"0";"0";"0";"";""
"174314";"";"";"";"";"";"";"";""
"174315";"";"";"";"";"";"";"";""
"174316";"";"";"";"";"";"";"";""
"174317";"";"";"";"";"";"";"";""
"174318";"";"";"";"";"";"";"";""
"174319";"";"";"";"";"";"";"";""
"174320";"";"";"";"";"";"";"";""
"174321";"";"";"";"";"";"";"";""
